id,original_text,label,corrected_text,
0207A115-2-045,"Η γάτα σκαρφάλοσε όμως τότε 
εμφανίστηκε ένας σκύλος.",1,"Η γάτα σκαρφάλωσε όμως τότε 
εμφανίστηκε ένας σκύλος.",
0207A115-2-045,"η γάτα ακούμπι-
σε μόνο τη φωλιά τους γιατί την έπιασε 
ο σκύλος από την ουρά και την έρηξε 
κάτω.",1,"η γάτα ακούμπη-
σε μόνο τη φωλιά τους γιατί την έπιασε 
ο σκύλος από την ουρά και την έριξε 
κάτω.",
0207A115-2-045,"η γάτα από το φόβω της έτρεξε
κι έτσι έζησαν αυτή καλά κι εμείς κα-
λύτερα.",1,"η γάτα από το φόβο της έτρεξε
κι έτσι έζησαν αυτοί καλά κι εμείς κα-
λύτερα.",
0207A115-2-046,"Μια φορά κι έναν καιρό ήταν τρία πουλάκια
σε ένα μεγάλο δέντρο και ήρθε 
μια γάτα που ήθελε να φάει τα μικρά 
πουλάκια και τα κητούσε για να τα
φάει.",1,"Μια φορά κι έναν καιρό ήταν τρία πουλάκια
σε ένα μεγάλο δέντρο και ήρθε 
μια γάτα που ήθελε να φάει τα μικρά 
πουλάκια και τα κοιτούσε για να τα
φάει.",
0207A115-2-046,"και ανέβηκε στο δέντρο για να
τα φάει.",0,,
0207A115-2-046,"εκεί ήρθε ένα σκυλί και ο 
σκίλος τράβιξε την ουράτης γάτα και
την έδιοξε μακριά.",1,"εκεί ήρθε ένα σκυλί και ο 
σκύλος τράβηξε την ουρά της γάτας και
την έδιωξε μακριά.",
0207A115-2-047,"Μια φορά κι έναν καιρό Είταν δύο πολάκια
στο δέντρο και οι μαμά τους.",1,"Μια φορά κι έναν καιρό Ήταν δύο πουλάκια
στο δέντρο και η μαμά τους.",
0207A115-2-047,"Έφηγε
και ξαφνηκά είρθε μια γάτα 
και έβλεπε τα πουλάκια και την έιδε
ένας σκύλος και την δάγοσε την
ουρά της τότε η γάτα πήδικσε
στην φολία τον πολιόν και ηρθε
η μητέρα τος και ο σκύλος κινιγούσε
την γάτα. ",1,"Έφυγε
και ξαφνικά ήρθε μια γάτα 
και έβλεπε τα πουλάκια και την είδε
ένας σκύλος και τη δάγκωσε την
ουρά της τότε η γάτα πήδηξε
στη φωλιά των πουλιών και ήρθε
η μητέρα τους και ο σκύλος κυνηγούσε
τη γάτα. ",
0207A202-3-029-a,"Μια πουλι τι ειχα δύο
μικρες πουλακης.",1,"Ένα πουλί που είχε δύο
μικρά πουλάκια.",
0207A202-3-029-a,"Αυτη φευγη και μια γατα εβλεπε
το δύο μικρες πουλακες.",1,"Αυτό φεύγει και μια γάτα έβλεπε
τα δύο μικρά πουλάκια.",
0207A202-3-029-a,"Πηγα στην δεντρο για να
τρωει τα πουλακια.",1,"Πήγε στο δέντρο για να
φάει τα πουλάκια.",
0207A202-3-029-a,"Ενα σκύλος εβλεπε την γατα 
στην δεντρο και πηγα από κη.",1,"Ένας σκύλος έβλεπε τη γάτα 
στο δέντρο και πήγε από κει.",
0207A202-3-029-a,"Η γατα βλεπει
το σκύλο και φευγη γριγορα και σκυλο
στην πισο με γατα.",1,"Η γάτα βλέπει
το σκύλο και φεύγει γρήγορα και ο σκύλος
έτρεξε πίσω από τη γάτα.",
0207A202-3-029-a,"Η πουλι ηρφε με του
δύο μικρες πουλακια με το φαγαιτω.",1,"Το πουλί ήρθε στα
δύο μικρά πουλάκια με το φαγητό.",
0207A202-3-029-b,"Θεσσαλονίκη 25/10/2011

Για σου,
Ελπίζω να εισαι καλα.",1,"Θεσσαλονίκη 25/10/2011

Γεια σου,
Ελπίζω να είσαι καλά.",
0207A202-3-029-b,"Θελω να το ειπα, ειμαι εδω στην
Θεσσαλονίκη με ένα χρονο.",1,"Θέλω να το πω, είμαι εδώ στη
Θεσσαλονίκη ένα χρόνο.",
0207A202-3-029-b,"Είναι ομορφο αυτό
το πολη αλλα εμενα δε μου αρεσι γιατι
δεν εχω πολλους φιλους και δεν ξερο τι να κανω.",1,"Είναι όμορφη αυτή
η πόλη αλλά εμένα δε μου αρέσει γιατί
δεν έχω πολλούς φίλους και δεν ξέρω τι να κάνω.",
0207A202-3-029-b,"Ειμαι στο σχολειο και μου αρεσι, εχω 
πολη καλλος δασκαλος.",1,"Είμαι στο σχολείο και μου αρέσει, έχω 
πολύ καλούς δασκάλους.",
0207A202-3-029-b,"Πολλα χαιρετισματα
στους δικους σου",1,"Πολλά χαιρετίσματα
στους δικούς σου",
0207A202-3-030-a,"σε εναν δάσο ηπείρχε
ενα δέντρο οπου ζουσε ενα όμορφο πουλακει.",1,"σε ένα δάσος υπήρχε
ένα δέντρο όπου ζούσε ένα όμορφο πουλάκι.",
0207A202-3-030-a,Αυτό το πουλή ειχε δυο παιδάκια.,1,Αυτό το πουλί είχε δυο παιδάκια.,
0207A202-3-030-a,"Μια μερα
Δεν είχαν τη να φάνε για αυτό πέταξε να
πσάκσει κάτι να τσιμπίσουν.",1,"Μια μέρα
Δεν είχαν τι να φάνε για αυτό πέταξε να
ψάξει κάτι να τσιμπήσουν.",
0207A202-3-030-a,"Αυτη τη 
στιγμή ερχόταν σιγα-σιγα μια γατα.",1,"Εκείνη τη 
στιγμή ερχόταν σιγά-σιγά μια γάτα.",
0207A202-3-030-a,"Οταν 
εφτασε η γατα σκεφτόταν πώς να φαει 
εκείνα τα πουλάκια.",1,"Όταν 
έφτασε η γάτα σκεφτόταν πώς να φάει 
εκείνα τα πουλάκια.",
0207A202-3-030-a,"Την ωρα που η γατα
σκαρφάλοσε στο δέντρο από πισω της ερχόταν
ενα σκυλή είδε την γατα και τρέχοντας
πηγε να την σταμάτιση.",1,"Την ώρα που η γάτα
σκαρφάλωσε στο δέντρο από πίσω της ερχόταν
ένα σκυλί είδε τη γάτα και τρέχοντας
πήγε να τη σταματήσει.",
0207A202-3-030-a,"Την επειασέ από
την ουρα και την τραβουσε προς το κάτω.",1,"Την έπιασε από
την ουρά και την τραβούσε προς τα κάτω.",
0207A202-3-030-a,Αυτή τη στιγμή ερχοταν και η μαμα τους.,1,Εκείνη τη στιγμή ερχόταν και η μαμά τους.,
0207A202-3-030-a,"Ο σκυλος έδιοκσε την γατα και την
ακολούθουσε.",1,"Ο σκύλος έδιωξε τη γάτα και την
ακολουθούσε.",
0207A202-3-030-a,"Η μαμα τάειζε τα μικρά
της και μετα ζούσαν καλα αλλα εμεις καλλήτερα ",1,"Η μαμά τάιζε τα μικρά
της και μετά ζούσαν καλά αλλά εμείς καλύτερα ",
0207A202-3-030-b,Για σου Σοτηρη.,1,Γεια σου Σωτήρη.,
0207A202-3-030-b,"Πως είσαι μεγάλε
Ειμαι μια χαρα σε λιγο θα γηρίσω 
πισω.",1,"Πώς είσαι μεγάλε
Είμαι μια χαρά σε λίγο θα γυρίσω 
πίσω.",
0207A202-3-030-b,"Τωρα η μαμα μου εχει πολη δουλ-
εια και δεν μπορουμε.",1,"Τώρα η μαμά μου έχει πολλή δυο-
λειά και δεν μπορούμε.",
0207A202-3-030-b,"Εγω πηγα εκδρομή με την εκογένεια μου σε
ενα μουζείο.",1,"Εγώ πήγα εκδρομή με την οικογένειά μου σε
ένα μουσείο.",
0207A202-3-030-b,"Εκει ειπήρχαν πολλά θανταστικα
ζωά.",1,"Εκεί υπήρχαν πολλά φανταστικά
ζώα.",
0207A202-3-030-b,Το μουζείο είναι πολύ μεγαλο.,1,Το μουσείο είναι πολύ μεγάλο.,
0207A202-3-030-b,"Εμενα μου αρεσε το τήγρη επειδή ειχε
μεγαλα δόντια.",1,"Εμένα μου άρεσε ο τίγρης επειδή είχε
μεγάλα δόντια.",
0207A202-3-030-b,"Δεν μου άρεσε όμως το
ελέφαντο δεν εμειαζέ με κανονικό.",1,"Δε μου άρεσε όμως ο
ελέφαντας δεν έμοιαζε με κανονικό.",
0207A202-3-031-b,"Θεσαλονικη 25/10/2011

Εχο 2 χρωνον στιν Ελαδα
μου αρεσι εδώ γιατιειναι ζεστι,
εχει μεγαλει φαλασα και πολες πλατειες.",1,"Θεσσαλονίκη 25/10/2011

Έχω 2 χρόνια στην Ελλάδα
μου αρέσει εδώ γιατί είναι ζεστά,
έχει μεγάλη θάλασσα και πολλές πλατείες.",
0207A202-3-031-b,τι δεν μουαρεσει τειποτα ωλα μουαρεσει.,1,τι δε μου αρέσει τίποτα όλα μου αρέσουν.,
0207A202-3-032-a,ηταν ένα πουλί.,1,ήταν ένα πουλί.,
0207A202-3-032-a,"Είχε δύο μικρά πουλάκια και τους τάιζε
κάθε μέρα.",1,"Είχε δύο μικρά πουλάκια και τα τάιζε
κάθε μέρα.",
0207A202-3-032-a,"Μια φορά όταν πέταξε το 
πουλί για να φέρει στα παιδιά της
φαγητό, ηρθε μια γάτα κι ήθελε να 
φάει τα πουλάκια, και άρχισε να
ανεβένει στο δέντρο.",1,"Μια φορά όταν πέταξε το 
πουλί για να φέρει στα παιδιά του
φαγητό, ήρθε μια γάτα κι ήθελε να 
φάει τα πουλάκια, και άρχισε να
ανεβαίνει στο δέντρο.",
0207A202-3-032-a," Όταν όμος ήθελε
να τα φάει, ήρθε ο σκύλος και
τη δάγκωσε.",1," Όταν όμως ήθελε
να τα φάει, ήρθε ο σκύλος και
τη δάγκωσε.",
0207A202-3-032-a,"Η γάτα τρόμαξε 
και έτρεξε μακριά απο τον σκύλο.",1,"Η γάτα τρόμαξε 
και έτρεξε μακριά από το σκύλο.",
0207A202-3-032-a,"Λίγο ποιό μετα ηρθε η μαμα
τους και τους έφερε φαγητό.",1,"Λίγο πιο μετά ήρθε η μαμά
τους και τους έφερε φαγητό.",
0207A202-3-032-b,Γιώργο πύρα το μινιμά σου.,1,Γιώργο πήρα το μήνυμά σου.,
0207A202-3-032-b,Εγω είμαι καλά.,1,Εγώ είμαι καλά.,
0207A202-3-032-b,"Ήθελα να σου
πω πος πηγαμε εκδρομή στο αρχαίο ελλινικό
μουσίο.",1,"Ήθελα να σου
πω πως πήγαμε εκδρομή στο αρχαίο ελληνικό
μουσείο.",
0207A202-3-032-b,"Ηταν πολύ οραίω, μ αρεσαν όλα στην
εκδρομή, ποίο πολλά στο λεωφορείο, γιατί
γελάσαμε και λέγαμε ιστορίες και τέτοια.",1,"Ήταν πολύ ωραία, μ' άρεσαν όλα στην
εκδρομή, πιο πολύ στο λεωφορείο, γιατί
γελάσαμε και λέγαμε ιστορίες και τέτοια.",
0207A202-3-032-b,"Δεν μου άρεσε ότι ήρθαμε πάλι στο 
σχολείο γιατί ήθελα να κάνω βόλτες γύρο από το Αρχαίο Ελληνικό
Μουσίο.",1,"Δε μου άρεσε που ήρθαμε πάλι στο 
σχολείο γιατί ήθελα να κάνω βόλτες γύρω από το Αρχαίο Ελληνικό
Μουσείο.",
0207A202-3-032-b,Φιλάκια,0,,
0207A202-3-033-a,"ειταν ενα δεντρο κε
έιχαφολια στην φολεια έιχαι πουλια
μετα ερχετε μια γατα κε το πουλι φεβγι
κe μετα 2 πουλια μικρα, δεν μπορουν
να φεβγουν ι γατα τα βλεπι κε
παί στο δεντρο να ανεβενί αλά δεν
μπορη να ανεβη πανο ο για τι το πειανι
οσκίλος απτο _____ και η γατα
τρεχι για να φυγη μετα ο σκιλος
κηνιγαί την γατα και μετα ερχετε το πουλί
και φερνί φαη στα πεδεια της.",1,"ήταν ένα δέντρο και
είχε φωλιά στη φωλιά είχε πουλιά
μετά έρχεται μια γάτα και το πουλί φεύγει
και μετά 2 πουλιά μικρά, δεν μπορούν
να φύγουν η γάτα τα βλέπει και
πάει στο δέντρο να ανεβεί αλλά δεν
μπορεί να ανεβεί πάνω γιατί την πιάνει
ο σκύλος απ' το _____ και η γάτα
τρέχει για να φύγει μετά ο σκύλος
κυνηγάει τη γάτα και μετά έρχεται το πουλί
και φέρνει φαΐ στα παιδιά του.",
0207A202-3-034-a,"στην φολια
Γλλαρος απο φολια, Ηταν 2 μικρο
στν, Εκη στο δρομο ηταν γατα
Η γατα θελη να φαη τα μηκρα
τωρα γατα θλη να παηστην φοληα
Εκη ιρθε, ενα σκηλο, αυτος
κηται ενα γαταστην φωληα
Ο Σκηλο το στρομαξη, και
γατα φεσγιε αποφοληα
Δεν θα παι ποτε απο φοληα
τα μηκρα ιιεναι καλα",1,"στη φωλιά
Γλάρος από φωλιά, Ήταν 2 μικρά
στν, Εκεί στο δρόμο ήταν γάτα
Η γάτα θέλει να φάει τα μικρά
τώρα η γάτα θέλει να πάει στη φωλιά
Εκεί ήρθε, ένας σκύλος, αυτός
κοιτάει μια γάτα στη φωλιά
Ο Σκύλος την τρομάζει, και η 
γάτα φεύγει από τη φωλιά
Δε θα πάει ποτέ από τη φωλιά
τα μικρά είναι καλά",
0207A202-3-049-a,"ειταν μια φορά που πουλι
μιτερα φερι ι πουλι  φαγητο να φανε τα πουλια μικρα μια
φορά ιταν μια γάτα και του κιτάι τα πουλια
που τα αφινι ι μιτεα τις και μετα το βλεπι
πανο και περπαται σε λίγο και καθεται
και τα κιτανε και τα πούλια που ερχαιτε η γατα
και οι γατα θελι νατα φαοι και ερχαιτε ενας
σχιλος και το πιανι από το ουρα και το 
τραβαι προστακατο και οι γατα βοβιθηκαι
και ι φιγου και ιρθι οι μεγαλι πουλι και τους
δοσι φαγιτο.",1,"ήταν μια φορά που πουλί
μητέρα έφερε στα πουλιά  φαγητό να φάνε τα πουλιά μικρά μια
φορά ήταν μια γάτα και τα κοιτάει τα πουλιά
που τα αφήνει η μητέρα τους και μετά τα βλέπει
πάνω και περπατάει σε λίγο και κάθεται
και τα κοιτάει και τα πουλιά που έρχεται η γάτα
και η γάτα θέλει να τα φάει και έρχεται ένας
σκύλος και την πιάνει από την ουρά και την 
τραβάει προς τα κάτω και η γάτα φοβήθηκε 
και έφυγε και ήρθε το μεγάλο πουλί να τους
δώσει φαγητό.",
0207A202-3-054-a,"Η Μανα πουλi δυνεi φαγiτο στα παιδiα πουλακiα
Τiς και φευγi, ερχεται οi γατα στα πουλακiα, και 
ανεβενεi στο δεντρο γiα να τους φαεi, σ αυτiν τi στγμi 
ερχεται κρiθα ο σκiλος και δανγκονη τiν γατα, οι γατα 
φευγi τρεχοντας και ο σκυλος κυνιγαει από πiσω τiν
γατα!",1,"Η Μάνα πουλί δίνει φαγητό στα παιδιά πουλάκια
της και φεύγει, έρχεται η γάτα στα πουλάκια, και 
ανεβαίνει στο δέντρο για να τα φάει, σ' αυτήν τη στιγμή 
έρχεται κρυφά ο σκύλος και δαγκώνει τη γάτα, η γάτα 
φεύγει τρέχοντας και ο σκύλος κυνηγάει από πίσω τη
γάτα!",
0207A202-3-057-a,"ηταν τα πουλακια
με μικρα πουλακια, στην 2 μερα οταν η 
μαμα τα αφινι τα πουλακια μονα για να
παι να βρει φαγιτο η γατα το βλεπει, τοτε
η γατα στεχετε μπροστα απο τα πουλια, και
μετα σκαρφαλονι στο δεντρο για να
φαϊ τα πουλια τοτε το βλεπι ο σκιλος και
παϊ για να το πιασι και την πιανι απο
την ουρα και μετα η γατα τρεχει
για να σοθι και ο σκιλος απο πισω
τον απολουθι, τοτε ερχετε το πουλι
το μεγαλο ερχετε στα μικρα του",1,"ήταν τα πουλάκια
με μικρά πουλάκια, στην 2 μέρα όταν η 
μαμά τα αφήνει τα πουλάκια μόνα για να
πάει να βρει φαγητό η γάτα τα βλέπει, τότε
η γάτα στέκεται μπροστά από τα πουλιά, και
μετά σκαρφαλώνει στο δέντρο για να
φάει τα πουλιά τότε το βλέπει ο σκύλος και
πάει για να την πιάσει και την πιάνει από
την ουρά και μετά η γάτα τρέχει
για να σωθεί και ο σκύλος από πίσω
την ακολουθεί, τότε έρχεται το πουλί
το μεγάλο έρχεται στα μικρά του",
0207A202-3-066-a,"Με λένε Μπιανκα και ιμε
απο στιν Ρουμανια.",1,"Με λένε Μπιάνκα και είμαι
από τη Ρουμανία.",
0207A202-3-066-a,"Εγω ιμε δεκα τρια χρονια Εγώ εχώ
ενας αδελφος, Βλαδ.",1,"Εγώ είμαι δεκατριών χρονών Εγώ έχω
έναν αδελφό, Βλαδ.",
0207A202-3-066-a,Αφτό ειναι ικοσι διω χρονια.,1,Αυτός είναι εικοσιδύο χρονών.,
0207A203-3-039-a,"Ιταν 2 πεδακεια
που πινασαν και δεν μπορουσαν ακομα
να μεταξσουν και ετσι πιγε η
μιτερατις γαι να φερι φαι και οπος
παι ει μιτερα εμφανιζετε μια
γατα και εκει τιν ορα ει γατα
ειχαι βρι τιν ευκερια γιανα τους
φαι ομος εκεινιτιν ορα εφανιστικε
ενας σκειλος και τιν τραβιξσε
απτιν ουρα και ει γατα
εξσαφανιστικε και τα πουλια εξισαν
καλα και εμεις καλιτερα",1,"Ήταν 2 παιδάκια
που πείνασαν και δεν μπορούσαν ακόμα
να πετάξουν και έτσι πήγε η
μητέρα τους για να φέρει φαΐ και όπως
πάει η μητέρα εμφανίζεται μια
γάτα και εκείνη την ώρα η γάτα
είχε βρει την ευκαιρία για να τα
φάει όμως εκείνη την ώρα εμφανίστηκε
ένας σκύλος και την τράβηξε
απ' την ουρά και η γάτα
εξαφανίστηκε και τα πουλιά έζησαν
καλά και εμείς καλύτερα",
0207A203-3-039-b,"Ελπιζο να εισαι καλα
Τις τελευταιες μερες εχει
πολι κριο και δεν μπορο να
βγο εξσο επιδι κανει
πολι κριο και δεν μαρεσι και
αυτετεις μερες θα πιγεναμε
στιν κατερινι ομος εβρεξσε
και δεν πιγαμε ολοτο σχολιο
στεναχοριθικαμε σε σενα τι
γινετε ουτε ένα γραμα δεν με εστιλε
γιατι ομος με ξσεχασε στιλε
και στιλε κανενα μινιμα ρε
εχετε παι εσεις καμια εκδρομι
μετα όταν θα με στιλις γραμα
πεσμου αν πιγατε εκδρομι
και στιλε μινιμα τα λεμε",1,"Ελπίζω να είσαι καλά
τις τελευταίες μέρες έχει
πολύ κρύο και δεν μπορώ να
βγω έξω επειδή κάνει
πολύ κρύο και δε μ' αρέσει και
αυτές τις μέρες θα πηγαίναμε
στην Κατερίνη όμως έβρεξε
και δεν πήγαμε όλο το σχολείο
στεναχωρηθήκαμε σε σένα τι
γίνεται ούτε ένα γράμμα δε μου έστειλες
γιατί όμως με ξέχασες στείλε
και στείλε κανένα μήνυμα ρε
έχετε πάει εσείς καμιά εκδρομή
μετά όταν θα μου στείλεις γράμμα
πες μου αν πήγατε εκδρομή
και στείλε μήνυμα τα λέμε",
0207A203-3-040-a,"Ηταν μια οικογενεια 
πουλιον και μια φορα η μανα πηγε για φαι.",1,"Ήταν μια οικογένεια 
πουλιών και μια φορά η μάνα πήγε για φαΐ.",
0207A203-3-040-a,"Μολις ειδε τα πουλια μονατους η γατα πηγε
να τα φαει, την ωρα που ανεβενε στον
δεντρο ηρθεο σκυλος και την δανγκοσε
την ουρα.",1,"Μόλις είδε τα πουλιά μόνα τους η γάτα πήγε
να τα φάει, την ώρα που ανέβαινε στο
δέντρο ήρθε ο σκύλος και της δάγκωσε
την ουρά.",
0207A203-3-040-a,Η γατα αρχισε να τρεχει.,1,Η γάτα άρχισε να τρέχει.,
0207A203-3-040-b,"Ερισιον Γεια σου και εσενα και
εδο στην Θεσαλονικη χθες ο Αγγελος
ειπαι εναν παπου γεια και μετα του ειπε να
παθει καρδια, ειχαμε πεθανει στα γελεια.",1,"Ερισιον Γεια σου και εσένα και
εδώ στη Θεσσαλονίκη χθες ο Άγγελος
είπε σ' έναν παππού γεια και μετά του είπε να
πάθει καρδιά, είχαμε πεθάνει στα γέλια.",
0207A203-3-040-b,"Μετα πιγαμε
σπιτια και κατσαμε εκει το μεσιμερι .",1,"Μετά πήγαμε 
σπίτι και κάτσαμε εκεί το μεσημέρι.",
0207A203-3-040-b,"Το απογευμα
που πιγαμε εξω καναμε βολτες με τα BMX
αλλα tespa να ξες οτι εδώ στην Θεσσαλονικη
είναι ορεα κα αυριο θα ξεκινισουμε για
Πακισταν.",1,"Το απόγευμα
που πήγαμε έξω κάναμε βόλτες με τα BMX
αλλά tespa να ξες ότι εδώ στη Θεσσαλονίκη
είναι ωραία και αύριο θα ξεκινήσουμε για
Πακιστάν.",
0207A203-3-041-a,Ηταν τρια πουλια.,1,Ήταν τρία πουλιά.,
0207A203-3-041-a,"Μια
μερα τα ειδε η Γατα και ηθελε να τα
πιασει μετα ηρθε ο σκυλος και
κινιγουσε τη γατα στο τελος εφιγε.",1,"Μια
μέρα τα είδε η γάτα και ήθελε να τα
πιάσει μετά ήρθε ο σκύλος και
κυνηγούσε τη γάτα στο τέλος έφυγε.",
0207A203-3-042-a,Ήταν μια οικογένεια πουλιών.,0,,
0207A203-3-042-a,Μια μέρα η μαμά πήγε να βρει φαγητό.,0,,
0207A203-3-042-a,"Πέρασε λίγη ώρα,
Η γάτα ήθελε να φάει τα πουλάκια, άλλα ήρθε ακόμα ένας
σκύλος που ήθελε να πιάσει τη γάτα.",1,"Πέρασε λίγη ώρα,
Η γάτα ήθελε να φάει τα πουλάκια, αλλά ήρθε ακόμα ένας
σκύλος που ήθελε να πιάσει τη γάτα.",
0207A203-3-042-a,"Η γάτα σκαρφάλωσε πάνω στο
δέντρο να πιάσει τα πουλάκια.",0,,
0207A203-3-042-a,Ο σκύλος τη βάγωσε την ουρά και έπεσε.,1,Ο σκύλος της δάγκωσε την ουρά και έπεσε.,
0207A203-3-042-a,Ήρθε η μαμά των πουλάκιων και τους έδωσε φαγητό.,1,Ήρθε η μαμά των πουλακίων και τους έδωσε φαγητό.,
0207A203-3-042-a,Ο σκύλος έτρεξε πίσω από την γάτα.,1,Ο σκύλος έτρεξε πίσω από τη γάτα.,
